,geo_accession,Sample_characteristics_ch1,Sample_title
GSM2808511,GSM2808511,tissue: colon cancer tissue,29C
GSM2808512,GSM2808512,tissue: nontumor colon tissue,29N
GSM2808513,GSM2808513,tissue: colon cancer tissue,34C
GSM2808514,GSM2808514,tissue: nontumor colon tissue,34N
GSM2808515,GSM2808515,tissue: colon cancer tissue,48C
GSM2808516,GSM2808516,tissue: nontumor colon tissue,48N
GSM2808517,GSM2808517,tissue: colon cancer tissue,55C
GSM2808518,GSM2808518,tissue: nontumor colon tissue,55N
GSM2808519,GSM2808519,tissue: colon cancer tissue,57C
GSM2808520,GSM2808520,tissue: nontumor colon tissue,57N
GSM2808521,GSM2808521,tissue: colon cancer tissue,91C
GSM2808522,GSM2808522,tissue: nontumor colon tissue,91N
GSM2808523,GSM2808523,tissue: colon cancer tissue,94C
GSM2808524,GSM2808524,tissue: nontumor colon tissue,94N
GSM2808525,GSM2808525,tissue: colon cancer tissue,101C
GSM2808526,GSM2808526,tissue: nontumor colon tissue,101N
GSM2808527,GSM2808527,tissue: colon cancer tissue,111C
GSM2808528,GSM2808528,tissue: nontumor colon tissue,111N
GSM2808529,GSM2808529,tissue: colon cancer tissue,112C
GSM2808530,GSM2808530,tissue: nontumor colon tissue,112N
