"ENTREZID","SYMBOL"
"10990","LILRB5"
"6422","SFRP1"
"7123","CLEC3B"
"766","CA7"
"92736","OTOP2"
"266675","BEST4"
"7102","TSPAN7"
"948","CD36"
"7148","TNXB"
"730","C7"
"7166","TPH1"
"759","CA1"
"7068","THRB"
"5570","PKIB"
"221476","PI16"
"8671","SLC4A4"
"6689","SPIB"
"10590","SCGN"
"222008","VSTM2A"
"6584","SLC22A5"
"1113","CHGA"
"11240","PADI2"
"57126","CD177"
"5697","PYY"
"284723","SLC25A34"
"9068","ANGPTL1"
"123264","SLC51B"
"4499","MT1M"
"10231","RCAN2"
"2167","FABP4"
"84281","AKAP19"
"145270","PRIMA1"
"2675","GFRA2"
"1805","DPT"
"644844","PHGR1"
"1836","SLC26A2"
"27250","PDCD4"
"10351","ABCA8"
"1675","CFD"
"130497","OSR1"
"9429","ABCG2"
"6750","SST"
"286133","SCARA5"
"85455","DISP2"
"6387","CXCL12"
"100048912","CDKN2B-AS1"
"5152","PDE9A"
"79762","C1orf115"
"111","ADCY5"
"5959","RDH5"
"2980","GUCA2A"
"4496","MT1H"
"10050","SLC17A4"
"5333","PLCD1"
"7098","TLR3"
"79154","DHRS11"
"643236","TMEM72"
"283316","CD163L1"
"23302","WSCD1"
"3248","HPGD"
"11155","LDB3"
"957","ENTPD5"
"2168","FABP1"
"2878","GPX3"
"51059","FAM135B"
"80157","CWH43"
"10446","LRRN2"
"9099","USP2"
"2949","GSTM5"
"4495","MT1G"
"23140","ZZEF1"
"257194","NEGR1"
"8406","SRPX"
"57863","CADM3"
"162514","TRPV3"
"284076","TTLL6"
"9201","DCLK1"
"762","CA4"
"643382","TMEM253"
"443","ASPA"
"26","AOC1"
"6799","SULT1A2"
"343","AQP8"
"4640","MYO1A"
"85477","SCIN"
"10350","ABCA9"
"5145","PDE6A"
"5523","PPP2R3A"
"7433","VIPR1"
"5105","PCK1"
"64388","GREM2"
"11170","FAM107A"
"4857","NOVA1"
"57556","SEMA6A"
"55911","APOBR"
"63928","CHP2"
"10894","LYVE1"
"146556","C16orf89"
"285758","MROCKI"
"5764","PTN"
"11126","CD160"
"4494","MT1F"
"22989","MYH15"
"651","BMP3"
"163175","LGI4"
"2651","GCNT2"
"25840","TMT1A"
"2641","GCG"
"257019","FRMD3"
"4118","MAL"
"54857","GDPD2"
"646962","HRCT1"
"3158","HMGCS2"
"23359","ENTREP2"
"6332","SCN7A"
"25890","ABI3BP"
"8537","BCAS1"
"66002","CYP4F12"
"5745","PTH1R"
"4969","OGN"
"57595","PDZD4"
"388364","TMIGD1"
"8857","FCGBP"
"8633","UNC5C"
"287","ANK2"
"23491","CES3"
"2494","NR5A2"
"8736","MYOM1"
"11148","HHLA2"
"5729","PTGDR"
"140803","TRPM6"
"53841","CDHR5"
"2676","GFRA3"
"92949","ADAMTSL1"
"55018","ANKRD40CL"
"6335","SCN9A"
"2788","GNG7"
"79908","BTNL8"
"154661","RUNDC3B"
"6855","SYP"
"3291","HSD11B2"
"80168","MOGAT2"
"653567","TMEM236"
"2981","GUCA2B"
"9745","ZNF536"
"27284","SULT1B1"
"79861","TUBAL3"
"4224","MEP1A"
"9145","SYNGR1"
"23495","TNFRSF13B"
"6817","SULT1A1"
"388595","TMEM82"
"125","ADH1B"
"1412","CRYBA2"
"9058","SLC13A2"
"80323","CCDC68"
"79981","FRMD1"
"6352","CCL5"
"4058","LTK"
"27299","ADAMDEC1"
"51567","TDP2"
"8824","CES2"
"30835","CD209"
"4684","NCAM1"
"7732","RNF112"
"6338","SCNN1B"
"5028","P2RY1"
"8708","B3GALT1"
"1908","EDN3"
"203859","ANO5"
"23052","ENDOD1"
"140","ADORA3"
"92291","CAPN13"
"80726","IQCN"
"101928405","LINC02023"
"23584","VSIG2"
"140738","TMEM37"
"3695","ITGB7"
"51196","PLCE1"
"284948","SH2D6"
"646627","LYPD8"
"23136","EPB41L3"
"5630","PRPH"
"9912","ARHGAP44"
"126","ADH1C"
"9073","CLDN8"
"80332","ADAM33"
"653808","ZG16"
"4493","MT1E"
"79148","MMP28"
"3957","LGALS2"
"1030","CDKN2B"
"8787","RGS9"
"10317","B3GALT5"
"2053","EPHX2"
"27163","NAAA"
"220441","RNF152"
"4501","MT1X"
"7008","TEF"
"4128","MAOA"
"54738","FEV"
"10462","CLEC10A"
"54831","BEST2"
"219348","PLAC9"
"1672","DEFB1"
"206358","SLC36A1"
"1521","CTSW"
"63924","CIDEC"
"2350","FOLR2"
"5023","P2RX1"
"254439","C11orf86"
"10349","ABCA10"
"6442","SGCA"
"654346","LGALS9C"
"79849","NHERF4"
"375704","ENHO"
"2681","GGTA1"
"1101","CHAD"
"1288","COL4A6"
"35","ACADS"
"124872","B4GALNT2"
"10917","BTNL3"
"9148","NEURL1"
"9290","GPR55"
"388335","TMEM220"
"154","ADRB2"
"5284","PIGR"
"1907","EDN2"
"2330","FMO5"
"101929340","ESAM-AS1"
"401022","HAGLR"
"101101775","TMEM220-AS1"
"23563","CHST5"
"253012","HEPACAM2"
"201501","ZBTB7C"
"23228","PLCL2"
"100506542","LINC01082"
"10225","CD96"
"9963","SLC23A1"
"1152","CKB"
"10891","PPARGC1A"
"84419","COXFA4L3"
"54825","CDHR2"
"2875","GPT"
"80221","ACSF2"
"3294","HSD17B2"
"199964","TMEM61"
"51316","PLAC8"
"197257","LDHD"
"338094","FAM151A"
"7263","TST"
"114131","UCN3"
"1776","DNASE1L3"
"79656","BEND5"
"2169","FABP2"
"11223","MST1L"
"1511","CTSG"
"4246","SCGB2A1"
"10110","SGK2"
"3040","HBA2"
"54979","PLAAT2"
"3960","LGALS4"
"4145","MATK"
"389643","NUGGC"
"134285","TMEM171"
"100130111","LCIIAR"
"10316","NMUR1"
"54852","PAQR5"
"6549","SLC9A2"
"2263","FGFR2"
"284194","LGALS9B"
"290","ANPEP"
"387695","GPR15LG"
"9834","FAM30A"
"9413","ENTREP1"
"10022","INSL5"
"3706","ITPKA"
"126259","TMIGD2"
"3800","KIF5C"
"10223","GPA33"
"340024","SLC6A19"
"64081","PBLD"
"326624","RAB37"
"4063","LY9"
"100129792","CCDC152"
"5801","PTPRR"
"3820","KLRB1"
"547","KIF1A"
"148808","SLC60A1"
"220963","SLC16A9"
"22802","CLCA4"
"27111","SDCBP2"
"771","CA12"
"8991","SELENBP1"
"91464","ISX"
"285972","LINC00996"
"5579","PRKCB"
"100423062","IGLL5"
"51301","GCNT4"
"124975","GGT6"
"84824","FCRLA"
