"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","16/284","146/7467",0.10958904109589,2.88134285163033,4.56467016514706,0.00012579490429278,0.0175205657750171,0.0159419956204437,"NEGR1/CADM3/JAM2/NCAM1/ITGB7/CLDN8/NLGN4X/SIGLEC1/CLDN5/MADCAM1/LRRC4B/JAML/CD226/CD8B/ITGAL/CD2",16
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","9/284","55/7467",0.163636363636364,4.30236875800256,4.88752999864444,0.000200038225382327,0.0175205657750171,0.0159419956204437,"MT1M/MT1H/MT1G/MT1F/TRPM6/MT1E/MT1X/SLC6A19/MT2A",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","22/284","253/7467",0.0869565217391304,2.28628291488059,4.1386521162937,0.000235519368672534,0.0175205657750171,0.0159419956204437,"THRB/PYY/SST/VIPR1/GCG/PTH1R/PTGDR/P2RY1/EDN3/ADORA3/P2RX1/NPY4R2/NPY4R/ADRB2/EDN2/UCN3/SSTR2/CTSG/NMUR1/INSL5/GZMA/PNOC",22
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","7/284","34/7467",0.205882352941176,5.41311101905551,5.12805264100404,0.000237566993559554,0.0175205657750171,0.0159419956204437,"CD36/FABP1/MOGAT2/FABP2/ACAT1/PLA2G10/PNLIPRP2",7
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","4/284","10/7467",0.4,10.5169014084507,5.98775094907993,0.000358818434437027,0.0178984108202832,0.0162857975349588,"TST/SQOR/SELENBP1/ETHE1",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","16/284","160/7467",0.1,2.62922535211268,4.14211189465965,0.000364035474310845,0.0178984108202832,0.0162857975349588,"THRB/SST/ADCY5/GUCA2A/VIPR1/GCG/PTH1R/GNG7/GUCA2B/GNA11/ADRB2/UCN3/SSTR2/ADCY9/GPER1/PNOC",16
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","8/284","51/7467",0.156862745098039,4.12427506213753,4.45143175301428,0.000607843321730467,0.0256162542729268,0.0233082777505668,"FABP4/ADCY5/AQP7/CIDEC/MGLL/ADRB2/PLAAT2/ADCY9",8
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","10/284","80/7467",0.125,3.28653169014085,4.08825897132681,0.000843090605192106,0.0310889660664589,0.0282879084636825,"SLC4A4/ADCY5/KCNMA1/ATP2A3/CLCA1/ADCY9/CLCA4/PLA2G10/PRKCB/PNLIPRP2",10
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","9/284","68/7467",0.132352941176471,3.47985708367854,4.08455572142864,0.00100630771060138,0.0329845305141563,0.0300126861056552,"CD36/FABP4/FABP1/PCK1/HMGCS2/AQP7/ACOX1/CPT2/FABP2",9
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","7/284","44/7467",0.159090909090909,4.18285851472471,4.21021400187691,0.00122230421586135,0.0360579743679097,0.0328092184257519,"CXCL12/TNFRSF13B/ITGB7/PIGR/MADCAM1/TNFRSF13C/CCR10",7
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","7/284","45/7467",0.155555555555556,4.08990610328638,4.13372226140483,0.00140127252379247,0.0375795813198889,0.0341937314418258,"ABCA8/ABCG2/ABCA9/DEFB1/ABCA10/ABCA5/ABCC3",7
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/284","15/7467",0.266666666666667,7.0112676056338,4.63367423590761,0.0020056965099184,0.0493067058688274,0.0448642640376485,"CA7/CA1/CA4/CA12",4
